8401,2018-01-13 18:53:29,397.83
902533,2018-01-13 18:53:29,271.59
878638,2018-01-13 18:53:29,-365.82
64060,2018-01-13 18:53:29,-744.17
827826,2018-01-13 18:53:29,-920.04
811060,2018-01-13 18:53:29,280.5
916624,2018-01-13 18:53:29,-130.28
304317,2018-01-13 18:53:29,627.06
307462,2018-01-13 18:53:29,669.96
203512,2018-01-13 18:53:29,-101.87
471800,2018-01-13 18:53:29,-561.06
790040,2018-01-13 18:53:29,673.29
22520,2018-01-13 18:53:29,-61.18
80277,2018-01-13 18:53:29,-422.83
367483,2018-01-13 18:53:29,-368.06
18675,2018-01-13 18:53:29,493.47
339599,2018-01-13 18:53:29,884.16
991085,2018-01-13 18:53:29,-15.05
297579,2018-01-13 18:53:29,-344.38
